Etats	NAM	Etats
-	PUN	-
Unis 	ABR	Unis 
:	PUN	:
BLANK	NAM	BLANK
Sarah	NAM	Sarah
BLANK	NAM	BLANK
Palin	NAM	Palin
,	PUN	,
BLANK	NAM	BLANK
un soutien	NOM	un soutien
BLANK	NAM	BLANK
«	PUN:cit	«
 sous	NOM	 sous
-	PUN	-
estimé 	NOM	estimé 
»	PUN:cit	»
BLANK	NAM	BLANK
à Donald Trump	NOM	à Donald Trump
RETURN	NAM	RETURN
La	DET:ART	le
BLANK	NAM	BLANK
presse	VER:pres	presser
BLANK	NAM	BLANK
américaine	ADJ	américain
BLANK	NAM	BLANK
souligne	VER:pres	souligner
BLANK	NAM	BLANK
que	KON	que
BLANK	NAM	BLANK
Sarah	NAM	Sarah
BLANK	NAM	BLANK
Palin	NAM	Palin
,	PUN	,
BLANK	NAM	BLANK
souvent	ADV	souvent
BLANK	NAM	BLANK
moquée	VER:pper	moquer
,	PUN	,
BLANK	NAM	BLANK
peut	VER:pres	pouvoir
BLANK	NAM	BLANK
être	NOM	être
BLANK	NAM	BLANK
un	DET:ART	un
BLANK	NAM	BLANK
poids	NOM	poids
BLANK	NAM	BLANK
important	ADJ	important
BLANK	NAM	BLANK
dans	PRP	dans
BLANK	NAM	BLANK
la	DET:ART	le
BLANK	NAM	BLANK
course	VER:pres	courser
BLANK	NAM	BLANK
à	PRP	à
BLANK	NAM	BLANK
l	VER:futu	l
'	PUN	'
investiture	NOM	investiture
BLANK	NAM	BLANK
républicaine	ADJ	républicain
BLANK	NAM	BLANK
du	PRP:det	du
BLANK	NAM	BLANK
milliardaire	ADJ	milliardaire
BLANK	NAM	BLANK
qui	PRO:REL	qui
BLANK	NAM	BLANK
cherche	VER:pres	chercher
BLANK	NAM	BLANK
les	DET:ART	le
BLANK	NAM	BLANK
votes	NOM	vote
BLANK	NAM	BLANK
des	PRP:det	du
BLANK	NAM	BLANK
«	PUN:cit	«
 anti	NOM	 anti
-	PUN	-
establishment 	NOM	establishment 
»	PUN:cit	»
.	SENT	.
RETURN	NAM	RETURN
RETURN	NAM	RETURN
Le	DET:ART	le
BLANK	NAM	BLANK
Pakistan	NAM	Pakistan
BLANK	NAM	BLANK
semble	VER:pres	sembler
BLANK	NAM	BLANK
